base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_dot,source_full_l2,source_l2,source_pair_config_id,source_retention,step_config_id,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_primary_retention,step_primary_shrink,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,train_curve,win
0.006687305974578527,step,9225,0.005527382932746683,0.03579593934457564,4.0,signed_d2_lr,0.01,-17.34514685347487,0.05928398572400493,,400,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.03579593934457564,1,1,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.6559205926205404,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,9225,0.002264359743600887,0.03579593934457564,4.0,signed_d2_lr,0.01,-11.477705553577023,0.05928398572400493,,400,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.03579593934457564,1,1,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.7909687128574846,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,9226,0.002028763507484023,0.0,4.0,signed_d2_lr,0.01,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,9226,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.01,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,9226,0.0018369259065997283,0.000897967704694133,4.0,signed_d2_lr,0.01,-59.062868481097865,0.02748395224800745,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,0,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.3358288512451297,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,9226,0.002292351185017918,0.000897967704694133,4.0,signed_d2_lr,0.01,-21.668727811241816,0.02748395224800745,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,0,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6512956176649154,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,9226,0.0021982826008042707,0.000897967704694133,4.0,signed_d2_lr,0.01,-12.237864918096975,0.02748395224800745,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,0,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8036925080067278,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,9226,0.0015664111728033144,0.0,4.0,signed_d2_lr,0.01,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,9226,0.0016025684965202782,0.0,4.0,signed_d2_lr,0.01,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,9226,0.003042840408900171,0.003359533272929083,4.0,signed_d2_lr,0.01,-46.32870230329016,0.03541434884099514,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,0,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.36913064451294647,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,9226,0.004413657167714371,0.003359533272929083,4.0,signed_d2_lr,0.01,-10.557365619582349,0.03541434884099514,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,0,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6813929341898268,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,9226,0.0012063799985723655,0.003359533272929083,4.0,signed_d2_lr,0.01,-12.684952691974372,0.03541434884099514,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,0,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8218387593392142,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,9226,0.0016880716653619192,0.0,4.0,signed_d2_lr,0.01,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,9226,0.0017262912135956674,0.0,4.0,signed_d2_lr,0.01,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,9226,0.002825258885295586,0.048324518115177115,4.0,signed_d2_lr,0.01,-65.4343674493436,0.05928398572400493,,400,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,0,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.3618845328078252,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,9226,0.005446859246115984,0.048324518115177115,4.0,signed_d2_lr,0.01,-18.549274299367223,0.05928398572400493,,400,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,0,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.6671419685972872,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,9226,0.0022181422731563146,0.048324518115177115,4.0,signed_d2_lr,0.01,-13.284519395249173,0.05928398572400493,,400,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,0,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.8007355233708418,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,9227,0.002028763507484023,0.0,4.0,signed_d2_lr,0.01,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,9227,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.01,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,9227,0.0018369259065997283,0.000897967704694133,4.0,signed_d2_lr,0.01,-59.062868481097865,0.02748395224800745,,25,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,1,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.3358288512451297,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,9227,0.002292351185017918,0.000897967704694133,4.0,signed_d2_lr,0.01,-21.668727811241816,0.02748395224800745,,25,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,1,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6512956176649154,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,9227,0.0021982826008042707,0.000897967704694133,4.0,signed_d2_lr,0.01,-12.237864918096975,0.02748395224800745,,25,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.000897967704694133,0,1,0.01,3000,20.0,12,0.01,0.02748395224800745,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8036925080067278,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,9227,0.0015664111728033144,0.0,4.0,signed_d2_lr,0.01,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,9227,0.0016025684965202782,0.0,4.0,signed_d2_lr,0.01,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,9227,0.003042840408900171,0.003359533272929083,4.0,signed_d2_lr,0.01,-46.32870230329016,0.03541434884099514,,100,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,1,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.36913064451294647,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,9227,0.004413657167714371,0.003359533272929083,4.0,signed_d2_lr,0.01,-10.557365619582349,0.03541434884099514,,100,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,1,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6813929341898268,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,9227,0.0012063799985723655,0.003359533272929083,4.0,signed_d2_lr,0.01,-12.684952691974372,0.03541434884099514,,100,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.003359533272929083,0,1,0.01,3000,20.0,12,0.01,0.03541434884099514,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8218387593392142,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,9227,0.0016880716653619192,0.0,4.0,signed_d2_lr,0.01,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,9227,0.0017262912135956674,0.0,4.0,signed_d2_lr,0.01,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,9227,0.002825258885295586,0.048324518115177115,4.0,signed_d2_lr,0.01,-65.4343674493436,0.05928398572400493,,400,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,1,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.3618845328078252,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,9227,0.005446859246115984,0.048324518115177115,4.0,signed_d2_lr,0.01,-18.549274299367223,0.05928398572400493,,400,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,1,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.6671419685972872,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,9227,0.0022181422731563146,0.048324518115177115,4.0,signed_d2_lr,0.01,-13.284519395249173,0.05928398572400493,,400,,0,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.048324518115177115,0,1,0.01,3000,20.0,12,0.01,0.05928398572400493,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.8007355233708418,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,9476,0.002028763507484023,0.0,10.0,signed_d2_lr,0.003,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,9476,0.0020975123081057234,0.0,10.0,signed_d2_lr,0.003,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,9476,0.0018454377844154192,0.0,10.0,signed_d2_lr,0.003,-58.873175548812554,0.02748402984467819,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.0,1,0,0.003,3000,20.0,12,0.01,0.02748402984467819,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.3386252150170956,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,9476,0.0022989676805717503,0.0,10.0,signed_d2_lr,0.003,-21.442637447099422,0.02748402984467819,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.0,1,0,0.003,3000,20.0,12,0.01,0.02748402984467819,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6548847744699282,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,9476,0.0022020949456707595,0.0,10.0,signed_d2_lr,0.003,-12.08566450263211,0.02748402984467819,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.0,1,0,0.003,3000,20.0,12,0.01,0.02748402984467819,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8066304900122232,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,9476,0.0015664111728033144,0.0,10.0,signed_d2_lr,0.003,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,9476,0.0016025684965202782,0.0,10.0,signed_d2_lr,0.003,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,9476,0.003025243776930021,0.005474432963652361,10.0,signed_d2_lr,0.003,-46.639081405055386,0.03541466933188179,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.005474432963652361,1,0,0.003,3000,20.0,12,0.01,0.03541466933188179,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.36512990796376277,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,9476,0.004400138076436694,0.005474432963652361,10.0,signed_d2_lr,0.003,-10.831329611881024,0.03541466933188179,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.005474432963652361,1,0,0.003,3000,20.0,12,0.01,0.03541466933188179,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6760060516887592,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,9476,0.0011985262202628094,0.005474432963652361,10.0,signed_d2_lr,0.003,-13.253391347669218,0.03541466933188179,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.005474432963652361,1,0,0.003,3000,20.0,12,0.01,0.03541466933188179,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8169964260963994,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,9476,0.0016880716653619192,0.0,10.0,signed_d2_lr,0.003,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,9476,0.0017262912135956674,0.0,10.0,signed_d2_lr,0.003,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9996,0.008124693914388277,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,9476,0.0028070115644079083,0.05050312729745277,10.0,signed_d2_lr,0.003,-65.65761431430175,0.059288363178533546,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.05050312729745277,1,0,0.003,3000,20.0,12,0.01,0.059288363178533546,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.36421778584803244,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,9476,0.005432443808907711,0.05050312729745277,10.0,signed_d2_lr,0.003,-18.764838493125847,0.059288363178533546,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.05050312729745277,1,0,0.003,3000,20.0,12,0.01,0.059288363178533546,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.6708470597178375,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,9476,0.0022098305669466943,0.05050312729745277,10.0,signed_d2_lr,0.003,-13.609455089111188,0.059288363178533546,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.05050312729745277,1,0,0.003,3000,20.0,12,0.01,0.059288363178533546,0.02252760436201262,0.7407407407407407,0.0,0.35,0.05,0.8051383490442287,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,9477,0.002028763507484023,0.0,10.0,signed_d2_lr,0.003,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,9477,0.0020975123081057234,0.0,10.0,signed_d2_lr,0.003,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,9477,0.0018731969975955387,-0.0029248694314482145,10.0,signed_d2_lr,0.003,-58.25454277939437,0.027484013719450345,,25,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,-0.0029248694314482145,1,1,0.003,3000,20.0,12,0.01,0.027484013719450345,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.34863190541356787,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,9477,0.00232050295376184,-0.0029248694314482145,10.0,signed_d2_lr,0.003,-20.706761828678854,0.027484013719450345,,25,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,-0.0029248694314482145,1,1,0.003,3000,20.0,12,0.01,0.027484013719450345,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.666943791622899,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,9477,0.002214477459499384,-0.0029248694314482145,10.0,signed_d2_lr,0.003,-11.591316846473754,0.027484013719450345,,25,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,-0.0029248694314482145,1,1,0.003,3000,20.0,12,0.01,0.027484013719450345,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.8158980820690417,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,9477,0.0015664111728033144,0.0,10.0,signed_d2_lr,0.003,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,9477,0.0016025684965202782,0.0,10.0,signed_d2_lr,0.003,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9996,0.008080604430802071,7322,,,,,3000,20.0,12,0.01,,,,0.0,0.35,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,9477,0.003025243776930021,0.005474432963652361,10.0,signed_d2_lr,0.003,-46.639081405055386,0.03541466933188179,,100,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.005474432963652361,1,1,0.003,3000,20.0,12,0.01,0.03541466933188179,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.36512990796376277,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,9477,0.004400138076436694,0.005474432963652361,10.0,signed_d2_lr,0.003,-10.831329611881024,0.03541466933188179,,100,,1,1,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9996,,7322,0.005474432963652361,1,1,0.003,3000,20.0,12,0.01,0.03541466933188179,0.02242333551502637,0.7407407407407407,0.0,0.35,0.05,0.6760060516887592,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
