basis_dim,coef,denominator,fit_start,lambda,n_cal,nuisance,response_rule,ridge,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,25,25,observation_bracket_mplld_neff_nolocality
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,25,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,25,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,25,25,observation_bracket_mplld_neff_nolocality
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,100,25,observation_bracket_mplld_neff_nolocality
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,100,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,100,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,100,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,100,25,observation_bracket_mplld_neff_nolocality
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,100,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,100,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,100,25,observation_bracket_mplld_neff_nolocality
4,0.04735528061043357,0.0021724689574154367,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010287787709586406,0.34163832611364137,0.013132743712394476,0.0014776710585123038,wsd_20000_24000.csv,WSD sharp,400,25,observation_bracket_mplld_neff_nolocality
4,0.04737830779412671,0.002172616531913509,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010293489476760635,0.341772334069947,0.013138361081714456,0.0014777758946908194,wsdld_20000_24000.csv,WSD linear,400,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_3.csv,WSD-con 3e-5,400,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_9.csv,WSD-con 9e-5,400,25,observation_bracket_mplld_neff_nolocality
4,0.0186012135954047,0.0020400885888890905,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,3.7948123595473736e-05,0.1697216607782859,0.006331555013508949,0.0013917019116719191,wsdcon_18.csv,WSD-con 18e-5,400,25,observation_bracket_mplld_neff_nolocality
4,0.04738884761837541,0.002172684106541106,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010296099604774261,0.34183367340520177,0.01314093248369788,0.001477823893045975,cosine_24000.csv,Cosine 24k,400,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_24000.csv,Constant 24k,400,25,observation_bracket_mplld_neff_nolocality
4,0.047393104006591434,0.002172711400767273,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00010297153739287033,0.34185844500004126,0.013141970962046482,0.0014778432790477976,constant_72000.csv,Constant 72k,400,25,observation_bracket_mplld_neff_nolocality
4,0.08189994784284672,0.0021469828640467547,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.0001758377845849149,0.34163832611364137,0.012123648957585121,0.0012593125600914583,wsd_20000_24000.csv,WSD sharp,25,100,observation_bracket_mplld_neff_nolocality
