basis_dim,coef,denominator,fit_start,lambda,lambda_rule,locality,locality_factor,n_cal,projection,q_rule,ridge,role,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,100,400,current_with_mplld_projection
4,0.07883046212310667,0.0021588725412547763,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017018492009199967,0.34186477164293966,0.012604465131641889,0.0013593777030796318,cosine_24000.csv,Cosine 24k,100,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,100,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,100,400,current_with_mplld_projection
4,0.07881628678987389,0.002158820263196438,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017015019699188148,0.34181390262458233,0.012602391169791468,0.0013593348951861214,wsd_20000_24000.csv,WSD sharp,400,400,current_with_mplld_projection
4,0.07882117112934564,0.0021588382751147783,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017016216112340332,0.3418314302401501,0.012603105772577585,0.0013593496446268271,wsdld_20000_24000.csv,WSD linear,400,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,400,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,400,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,400,400,current_with_mplld_projection
4,0.07883046212310667,0.0021588725412547763,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017018492009199967,0.34186477164293966,0.012604465131641889,0.0013593777030796318,cosine_24000.csv,Cosine 24k,400,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,400,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,400,400,current_with_mplld_projection
0,0.4245380260120369,0.11882577238760135,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,none,q2,0.002,projection_ablation,0.050446058848787875,0.3417978531056059,0.3417978531056059,1.0,wsd_20000_24000.csv,WSD sharp,25,25,current_without_mplld_projection
0,0.42451652830328307,0.11883775317747255,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,none,q2,0.002,projection_ablation,0.050448590410263096,0.34181537879017754,0.34181537879017754,1.0,wsdld_20000_24000.csv,WSD linear,25,25,current_without_mplld_projection
0,0.8233833807362066,0.030805442137339552,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,none,q2,0.002,projection_ablation,0.025364689092116234,0.1697216607782859,0.1697216607782859,1.0,wsdcon_3.csv,WSD-con 3e-5,25,25,current_without_mplld_projection
0,0.8233833807362066,0.030805442137339552,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,none,q2,0.002,projection_ablation,0.025364689092116234,0.1697216607782859,0.1697216607782859,1.0,wsdcon_9.csv,WSD-con 9e-5,25,25,current_without_mplld_projection
0,0.8233833807362066,0.030805442137339552,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,none,q2,0.002,projection_ablation,0.025364689092116234,0.1697216607782859,0.1697216607782859,1.0,wsdcon_18.csv,WSD-con 18e-5,25,25,current_without_mplld_projection
0,0.42447564072197214,0.1188605449860264,8000,9.02560883338251,halflife,support_projection,0.0,500,none,q2,0.002,projection_ablation,0.050453405989506345,0.3418487165194955,0.3418487165194955,1.0,cosine_24000.csv,Cosine 24k,25,25,current_without_mplld_projection
0,0.42446371051130394,0.11886719641784624,8000,9.025353913540956,halflife,support_projection,0.0,500,none,q2,0.002,projection_ablation,0.05045481124959499,0.34185844500004126,0.34185844500004126,1.0,constant_24000.csv,Constant 24k,25,25,current_without_mplld_projection
0,0.42446371051130394,0.11886719641784624,8000,9.025353913540956,halflife,support_projection,0.0,500,none,q2,0.002,projection_ablation,0.05045481124959499,0.34185844500004126,0.34185844500004126,1.0,constant_72000.csv,Constant 72k,25,25,current_without_mplld_projection
0,0.4245380260120369,0.11882577238760135,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,none,q2,0.002,projection_ablation,0.050446058848787875,0.3417978531056059,0.3417978531056059,1.0,wsd_20000_24000.csv,WSD sharp,100,25,current_without_mplld_projection
0,0.42451652830328307,0.11883775317747255,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,none,q2,0.002,projection_ablation,0.050448590410263096,0.34181537879017754,0.34181537879017754,1.0,wsdld_20000_24000.csv,WSD linear,100,25,current_without_mplld_projection
