estimator,scale,train_curve,train_label,kappa,tau,sigma,k0,reliable_n,raw_kappa,total_drop,max_drop,drop_eff_steps,feature_max,feature_mean,feature_peak_to_mean,feature_l2,corr,r2,positive_overlap,phi_norm,projection_dot,amp_raw,resid_std,resid_robust_scale,smooth_id_weight
eb_lco_median,25,wsdcon_9.csv,WSD-con 9e-5,0.016125503071869805,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,10.37383095937158,2.381106028408731,0.774290846915672,0.46595750912547707,0.9738336984062966,1.5430832862839035,0.0384209379538373,0.024898810255643222,0.0037361901982010024,0.003476932584034337,0.9992715352590258
eb_lco_median,100,wsdcon_9.csv,WSD-con 9e-5,0.015418868196690427,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.5815254899829824,0.007405393304348196,0.8822121854532247,1.5430925491417864,0.0367377367020124,0.023807863450863418,0.005939693923425858,0.005527111516019917,0.9992715352590258
eb_lco_median,400,wsdcon_9.csv,WSD-con 9e-5,0.028322517830740846,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.7339771420310921,0.08805942381317033,0.9345709422444535,1.5430925491417864,0.06748259272539518,0.0437320449527973,0.008240364793057512,0.006596053944401569,0.9992715352590258
eb_lco_median,25,wsdcon_18.csv,WSD-con 18e-5,0.03,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,19.549738417616393,0.43334458822817123,0.630122474579084,0.3399336845553441,1.0,0.6582891372551816,0.013419173321417437,0.020384922919084385,0.0028371434424280502,0.002419133433035098,0.9961051643574522
eb_lco_median,100,wsdcon_18.csv,WSD-con 18e-5,0.01807374379359216,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.5677353309044975,0.30318795197160264,0.983920539872176,0.6582891373065478,0.007907690540491638,0.012012488270498736,0.0018185629731887422,0.0016775796996113938,0.9961051643574522
eb_lco_median,400,wsdcon_18.csv,WSD-con 18e-5,0.024828095133928904,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.6135896551001625,0.06569648964623309,0.9745164439064753,0.6582891373065478,0.010862879062090259,0.01650168360142893,0.0033252566833045887,0.0014712257020655672,0.9961051643574522
eb_lco_mean,25,cosine_72000.csv,Cosine,0.0019776816255349626,0.04403811871161681,0.001953267821735734,0.04435402507828932,15,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,-0.038338926020639534,-1.723657766871502,1.0,0.30834177492803116,0.04577043147156886,0.14844057858281434,0.00295752667238241,0.0033523329863594025,8.414274335231301e-05
eb_lco_mean,100,cosine_72000.csv,Cosine,0.0022013632205859276,0.04403811871161681,0.001953267821735734,0.04435402507828932,15,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,0.42486160576900356,-0.16542168679991298,0.999987037612911,0.30834177492803116,0.05094720157730417,0.16522964359660816,0.0038620886323853807,0.005447659472037359,8.414274335231301e-05
eb_lco_mean,400,cosine_72000.csv,Cosine,0.001406632234851755,0.04403811871161681,0.001953267821735734,0.04435402507828932,15,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.09508274050125376,0.5519162762632617,0.26323285722447143,0.9545670409774167,0.30835489375272407,0.03255405831198679,0.10557334737191665,0.006097469982571264,0.00695246595891458,8.414356205870405e-05
eb_lco_mean,25,wsd_20000_24000.csv,WSD sharp,0.03,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.9438286145394619,0.7998285798301223,0.4716764687439958,1.0,0.9715084222689281,0.04501719008768543,0.046337416182712206,0.003323870938767359,0.0015772934021270055,0.8876272844795522
eb_lco_mean,100,wsd_20000_24000.csv,WSD sharp,0.03,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.9438286145394619,0.9645067924639876,0.8341842773155973,1.0,0.9715084222689281,0.071183815689217,0.07327143445958952,0.004656444054153262,0.0012062006480936325,0.8876272844795522
eb_lco_mean,400,wsd_20000_24000.csv,WSD sharp,0.03,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.9529421754440708,0.9630825252534042,0.8864955854076416,1.0,0.9761875718549539,0.09645080501215705,0.09880355762866455,0.007813071286942936,0.001953267821735734,0.8876316940905121
eb_lco_mean,25,wsdld_20000_24000.csv,WSD linear,0.03,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.5721837247862505,0.7421776614409937,0.31811865147097595,1.0,0.7564282681036256,0.029188347487428018,0.038587065976002644,0.002939418314843967,0.001547371771584771,0.7652294183995945
eb_lco_mean,100,wsdld_20000_24000.csv,WSD linear,0.03,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.5721837247862505,0.9575628569010615,0.75809798956189,1.0,0.7564282681036256,0.04508490901739723,0.05960235876750827,0.003785289883168282,0.0012062006480936325,0.7652294183995945
eb_lco_mean,400,wsdld_20000_24000.csv,WSD linear,0.03,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.5890891345460179,0.9545284127726327,0.8540846239539963,0.9999883258396075,0.7675214228580319,0.05987666591804361,0.07801302235327828,0.006381838618732896,0.001595459654683224,0.7655415869579296
eb_lco_mean,25,wsdcon_3.csv,WSD-con 3e-5,0.017557621994737326,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,4.22206118706609,10.70275226864739,0.8694804302664776,0.7094428624214087,0.9774041637917499,3.271506116247896,0.18793433960205158,0.05744581636839312,0.0062155954412196745,0.004347085353796467,0.9996571526506726
eb_lco_mean,100,wsdcon_3.csv,WSD-con 3e-5,0.02131488629238054,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.7749996484485983,0.5342233780131613,0.9243752052645625,3.297011025897837,0.23172244404437334,0.07028258086618652,0.008520945213934152,0.004449574768546803,0.9996571526506726
eb_lco_mean,400,wsdcon_3.csv,WSD-con 3e-5,0.03,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12,0.036467051200031186,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.8828684614369372,0.6973814731498871,0.9716350750803335,3.297011025897837,0.39640711949105556,0.12023226988848378,0.012714352258836817,0.005726123466806759,0.9996571526506726
eb_lco_mean,25,wsdcon_9.csv,WSD-con 9e-5,0.0161286200789216,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,10.37383095937158,2.381106028408731,0.774290846915672,0.46595750912547707,0.9738336984062966,1.5430832862839035,0.0384209379538373,0.024898810255643222,0.0037361901982010024,0.003476932584034337,0.9992715352590258
eb_lco_mean,100,wsdcon_9.csv,WSD-con 9e-5,0.015421848577764168,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.5815254899829824,0.007405393304348196,0.8822121854532247,1.5430925491417864,0.0367377367020124,0.023807863450863418,0.005939693923425858,0.005527111516019917,0.9992715352590258
eb_lco_mean,400,wsdcon_9.csv,WSD-con 9e-5,0.028327992415193258,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.7339771420310921,0.08805942381317033,0.9345709422444535,1.5430925491417864,0.06748259272539518,0.0437320449527973,0.008240364793057512,0.006596053944401569,0.9992715352590258
eb_lco_mean,25,wsdcon_18.csv,WSD-con 18e-5,0.03,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,19.549738417616393,0.43334458822817123,0.630122474579084,0.3399336845553441,1.0,0.6582891372551816,0.013419173321417437,0.020384922919084385,0.0028371434424280502,0.002419133433035098,0.9961051643574522
eb_lco_mean,100,wsdcon_18.csv,WSD-con 18e-5,0.01812047265077214,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.5677353309044975,0.30318795197160264,0.983920539872176,0.6582891373065478,0.007907690540491638,0.012012488270498736,0.0018185629731887422,0.0016775796996113938,0.9961051643574522
eb_lco_mean,400,wsdcon_18.csv,WSD-con 18e-5,0.024892287064765924,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.6135896551001625,0.06569648964623309,0.9745164439064753,0.6582891373065478,0.010862879062090259,0.01650168360142893,0.0033252566833045887,0.0014712257020655672,0.9961051643574522
eb_lco_q75,25,cosine_72000.csv,Cosine,0.004000473199206422,0.030898198785299612,0.001953267821735734,0.0632162358494838,15,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,-0.038338926020639534,-1.723657766871502,1.0,0.30834177492803116,0.04577043147156886,0.14844057858281434,0.00295752667238241,0.0033523329863594025,8.414274335231301e-05
eb_lco_q75,100,cosine_72000.csv,Cosine,0.004452938456810804,0.030898198785299612,0.001953267821735734,0.0632162358494838,15,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,0.42486160576900356,-0.16542168679991298,0.999987037612911,0.30834177492803116,0.05094720157730417,0.16522964359660816,0.0038620886323853807,0.005447659472037359,8.414274335231301e-05
eb_lco_q75,400,cosine_72000.csv,Cosine,0.002845347927568272,0.030898198785299612,0.001953267821735734,0.0632162358494838,15,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.09508274050125376,0.5519162762632617,0.26323285722447143,0.9545670409774167,0.30835489375272407,0.03255405831198679,0.10557334737191665,0.006097469982571264,0.00695246595891458,8.414356205870405e-05
eb_lco_q75,25,wsd_20000_24000.csv,WSD sharp,0.03,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.9438286145394619,0.7998285798301223,0.4716764687439958,1.0,0.9715084222689281,0.04501719008768543,0.046337416182712206,0.003323870938767359,0.0015772934021270055,0.8876272844795522
eb_lco_q75,100,wsd_20000_24000.csv,WSD sharp,0.03,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.9438286145394619,0.9645067924639876,0.8341842773155973,1.0,0.9715084222689281,0.071183815689217,0.07327143445958952,0.004656444054153262,0.0012062006480936325,0.8876272844795522
eb_lco_q75,400,wsd_20000_24000.csv,WSD sharp,0.03,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.9529421754440708,0.9630825252534042,0.8864955854076416,1.0,0.9761875718549539,0.09645080501215705,0.09880355762866455,0.007813071286942936,0.001953267821735734,0.8876316940905121
eb_lco_q75,25,wsdld_20000_24000.csv,WSD linear,0.03,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.5721837247862505,0.7421776614409937,0.31811865147097595,1.0,0.7564282681036256,0.029188347487428018,0.038587065976002644,0.002939418314843967,0.001547371771584771,0.7652294183995945
eb_lco_q75,100,wsdld_20000_24000.csv,WSD linear,0.03,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.5721837247862505,0.9575628569010615,0.75809798956189,1.0,0.7564282681036256,0.04508490901739723,0.05960235876750827,0.003785289883168282,0.0012062006480936325,0.7652294183995945
eb_lco_q75,400,wsdld_20000_24000.csv,WSD linear,0.03,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.5890891345460179,0.9545284127726327,0.8540846239539963,0.9999883258396075,0.7675214228580319,0.05987666591804361,0.07801302235327828,0.006381838618732896,0.001595459654683224,0.7655415869579296
eb_lco_q75,25,wsdcon_3.csv,WSD-con 3e-5,0.017558684606586574,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,4.22206118706609,10.70275226864739,0.8694804302664776,0.7094428624214087,0.9774041637917499,3.271506116247896,0.18793433960205158,0.05744581636839312,0.0062155954412196745,0.004347085353796467,0.9996571526506726
eb_lco_q75,100,wsdcon_3.csv,WSD-con 3e-5,0.021316156418777682,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.7749996484485983,0.5342233780131613,0.9243752052645625,3.297011025897837,0.23172244404437334,0.07028258086618652,0.008520945213934152,0.004449574768546803,0.9996571526506726
eb_lco_q75,400,wsdcon_3.csv,WSD-con 3e-5,0.03,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.036467051200031186,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.8828684614369372,0.6973814731498871,0.9716350750803335,3.297011025897837,0.39640711949105556,0.12023226988848378,0.012714352258836817,0.005726123466806759,0.9996571526506726
eb_lco_q75,25,wsdcon_9.csv,WSD-con 9e-5,0.01613263055895891,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,10.37383095937158,2.381106028408731,0.774290846915672,0.46595750912547707,0.9738336984062966,1.5430832862839035,0.0384209379538373,0.024898810255643222,0.0037361901982010024,0.003476932584034337,0.9992715352590258
eb_lco_q75,100,wsdcon_9.csv,WSD-con 9e-5,0.015425683268715386,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.5815254899829824,0.007405393304348196,0.8822121854532247,1.5430925491417864,0.0367377367020124,0.023807863450863418,0.005939693923425858,0.005527111516019917,0.9992715352590258
eb_lco_q75,400,wsdcon_9.csv,WSD-con 9e-5,0.02833503625923264,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.7339771420310921,0.08805942381317033,0.9345709422444535,1.5430925491417864,0.06748259272539518,0.0437320449527973,0.008240364793057512,0.006596053944401569,0.9992715352590258
eb_lco_q75,25,wsdcon_18.csv,WSD-con 18e-5,0.03,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,19.549738417616393,0.43334458822817123,0.630122474579084,0.3399336845553441,1.0,0.6582891372551816,0.013419173321417437,0.020384922919084385,0.0028371434424280502,0.002419133433035098,0.9961051643574522
eb_lco_q75,100,wsdcon_18.csv,WSD-con 18e-5,0.01819461836141784,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.5677353309044975,0.30318795197160264,0.983920539872176,0.6582891373065478,0.007907690540491638,0.012012488270498736,0.0018185629731887422,0.0016775796996113938,0.9961051643574522
eb_lco_q75,400,wsdcon_18.csv,WSD-con 18e-5,0.024994141820410785,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.6135896551001625,0.06569648964623309,0.9745164439064753,0.6582891373065478,0.010862879062090259,0.01650168360142893,0.0033252566833045887,0.0014712257020655672,0.9961051643574522
eb_lco_trimmed_mean,25,cosine_72000.csv,Cosine,0.0015439363726863216,0.04986417189839674,0.001953267821735734,0.039171768975041106,15,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,-0.038338926020639534,-1.723657766871502,1.0,0.30834177492803116,0.04577043147156886,0.14844057858281434,0.00295752667238241,0.0033523329863594025,8.414274335231301e-05
eb_lco_trimmed_mean,100,cosine_72000.csv,Cosine,0.0017185601068812834,0.04986417189839674,0.001953267821735734,0.039171768975041106,15,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.09507465016576863,0.42486160576900356,-0.16542168679991298,0.999987037612911,0.30834177492803116,0.05094720157730417,0.16522964359660816,0.0038620886323853807,0.005447659472037359,8.414274335231301e-05
eb_lco_trimmed_mean,400,cosine_72000.csv,Cosine,0.0010981296624718417,0.04986417189839674,0.001953267821735734,0.039171768975041106,15,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.09508274050125376,0.5519162762632617,0.26323285722447143,0.9545670409774167,0.30835489375272407,0.03255405831198679,0.10557334737191665,0.006097469982571264,0.00695246595891458,8.414356205870405e-05
eb_lco_trimmed_mean,25,wsd_20000_24000.csv,WSD sharp,0.03,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.9438286145394619,0.7998285798301223,0.4716764687439958,1.0,0.9715084222689281,0.04501719008768543,0.046337416182712206,0.003323870938767359,0.0015772934021270055,0.8876272844795522
eb_lco_trimmed_mean,100,wsd_20000_24000.csv,WSD sharp,0.03,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.9438286145394619,0.9645067924639876,0.8341842773155973,1.0,0.9715084222689281,0.071183815689217,0.07327143445958952,0.004656444054153262,0.0012062006480936325,0.8876272844795522
eb_lco_trimmed_mean,400,wsd_20000_24000.csv,WSD sharp,0.03,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.9529421754440708,0.9630825252534042,0.8864955854076416,1.0,0.9761875718549539,0.09645080501215705,0.09880355762866455,0.007813071286942936,0.001953267821735734,0.8876316940905121
eb_lco_trimmed_mean,25,wsdld_20000_24000.csv,WSD linear,0.03,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.5721837247862505,0.7421776614409937,0.31811865147097595,1.0,0.7564282681036256,0.029188347487428018,0.038587065976002644,0.002939418314843967,0.001547371771584771,0.7652294183995945
eb_lco_trimmed_mean,100,wsdld_20000_24000.csv,WSD linear,0.03,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.5721837247862505,0.9575628569010615,0.75809798956189,1.0,0.7564282681036256,0.04508490901739723,0.05960235876750827,0.003785289883168282,0.0012062006480936325,0.7652294183995945
eb_lco_trimmed_mean,400,wsdld_20000_24000.csv,WSD linear,0.03,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.5890891345460179,0.9545284127726327,0.8540846239539963,0.9999883258396075,0.7675214228580319,0.05987666591804361,0.07801302235327828,0.006381838618732896,0.001595459654683224,0.7655415869579296
eb_lco_trimmed_mean,25,wsdcon_3.csv,WSD-con 3e-5,0.017557215256948765,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12,0.017559440308880722,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.21316602486886502,4.22206118706609,10.70275226864739,0.8694804302664776,0.7094428624214087,0.9774041637917499,3.271506116247896,0.18793433960205158,0.05744581636839312,0.0062155954412196745,0.004347085353796467,0.9996571526506726
eb_lco_trimmed_mean,100,wsdcon_3.csv,WSD-con 3e-5,0.02131440012326002,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12,0.021317059698654564,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.7749996484485983,0.5342233780131613,0.9243752052645625,3.297011025897837,0.23172244404437334,0.07028258086618652,0.008520945213934152,0.004449574768546803,0.9996571526506726
eb_lco_trimmed_mean,400,wsdcon_3.csv,WSD-con 3e-5,0.03,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12,0.036467051200031186,0.8999999999999999,0.8999999999999999,1.0,0.8999999999999999,0.1996725552957689,4.507379587880052,10.870281704891909,0.8828684614369372,0.6973814731498871,0.9716350750803335,3.297011025897837,0.39640711949105556,0.12023226988848378,0.012714352258836817,0.005726123466806759,0.9996571526506726
eb_lco_trimmed_mean,25,wsdcon_9.csv,WSD-con 9e-5,0.016127114994326067,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12,0.016135752669323017,0.7,0.7,1.0,0.7,0.06747748278736211,10.37383095937158,2.381106028408731,0.774290846915672,0.46595750912547707,0.9738336984062966,1.5430832862839035,0.0384209379538373,0.024898810255643222,0.0037361901982010024,0.003476932584034337,0.9992715352590258
eb_lco_trimmed_mean,100,wsdcon_9.csv,WSD-con 9e-5,0.015420409464678127,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12,0.015428668529379208,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.5815254899829824,0.007405393304348196,0.8822121854532247,1.5430925491417864,0.0367377367020124,0.023807863450863418,0.005939693923425858,0.005527111516019917,0.9992715352590258
eb_lco_trimmed_mean,400,wsdcon_9.csv,WSD-con 9e-5,0.028325348945807575,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12,0.02834051980687712,0.7,0.7,1.0,0.7,0.05897773729219405,11.868885313995387,2.3811346152168964,0.7339771420310921,0.08805942381317033,0.9345709422444535,1.5430925491417864,0.06748259272539518,0.0437320449527973,0.008240364793057512,0.006596053944401569,0.9992715352590258
eb_lco_trimmed_mean,25,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12,0.030966518761166042,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.020460631823060987,19.549738417616393,0.43334458822817123,0.630122474579084,0.3399336845553441,1.0,0.6582891372551816,0.013419173321417437,0.020384922919084385,0.0028371434424280502,0.002419133433035098,0.9961051643574522
eb_lco_trimmed_mean,100,wsdcon_18.csv,WSD-con 18e-5,0.018092542064151704,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12,0.01824804267566827,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.5677353309044975,0.30318795197160264,0.983920539872176,0.6582891373065478,0.007907690540491638,0.012012488270498736,0.0018185629731887422,0.0016775796996113938,0.9961051643574522
eb_lco_trimmed_mean,400,wsdcon_18.csv,WSD-con 18e-5,0.024853918519229468,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12,0.025067531372228207,0.3999999999999999,0.3999999999999999,1.0,0.3999999999999999,0.017832874856520412,22.4304832069039,0.433344588295799,0.6135896551001625,0.06569648964623309,0.9745164439064753,0.6582891373065478,0.010862879062090259,0.01650168360142893,0.0033252566833045887,0.0014712257020655672,0.9961051643574522
