base_mae,corr_mae,curvature_lambda,curvature_mode,curvature_tau,delta_pct,forced_channel,scale,shrink_curvature,signed_curvature_coef,source_config_id,step_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,win
0.004487187642230267,0.0018454377844154192,10.0,signed_d2_lr,0.003,-58.873175548812554,step,25,1,0,11524,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.3386252150170956,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022989676805717503,10.0,signed_d2_lr,0.003,-21.442637447099422,step,25,1,0,11524,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.6548847744699282,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022020949456707595,10.0,signed_d2_lr,0.003,-12.08566450263211,step,25,1,0,11524,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.8066304900122232,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.003159534514153112,10.0,signed_d2_lr,0.003,-15.702372846416868,step,100,1,0,11524,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.13624097538553698,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0027923894628839514,10.0,signed_d2_lr,0.003,-14.035721736900564,step,100,1,0,11524,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.17581273417047494,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003025243776930021,10.0,signed_d2_lr,0.003,-46.639081405055386,step,100,1,0,11524,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.36512990796376277,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004400138076436694,10.0,signed_d2_lr,0.003,-10.831329611881024,step,100,1,0,11524,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.6760060516887592,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0011985262202628094,10.0,signed_d2_lr,0.003,-13.253391347669218,step,100,1,0,11524,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.8169964260963994,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.003720064292256174,10.0,signed_d2_lr,0.003,-20.88334429508277,step,400,1,0,11524,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.13557653581862944,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0030875613971945676,10.0,signed_d2_lr,0.003,-19.87761227260093,step,400,1,0,11524,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.17630666087045138,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.0028070115644079083,10.0,signed_d2_lr,0.003,-65.65761431430175,step,400,1,0,11524,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.36421778584803244,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005432443808907711,10.0,signed_d2_lr,0.003,-18.764838493125847,step,400,1,0,11524,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.6708470597178375,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0022098305669466943,10.0,signed_d2_lr,0.003,-13.609455089111188,step,400,1,0,11524,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.8051383490442287,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0029489973707103817,10.0,signed_d2_lr,0.003,-13.478182656058335,step,25,1,0,12548,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.13496051026143796,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.00278018464794927,10.0,signed_d2_lr,0.003,-11.348853190346686,step,25,1,0,12548,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.1738704308030451,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0018454377844154192,10.0,signed_d2_lr,0.003,-58.873175548812554,step,25,1,0,12548,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.3386252150170956,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022989676805717503,10.0,signed_d2_lr,0.003,-21.442637447099422,step,25,1,0,12548,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.6548847744699282,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022020949456707595,10.0,signed_d2_lr,0.003,-12.08566450263211,step,25,1,0,12548,0.0,3000,20.0,12,0.01,0.02748402984467819,0.0,0.35,0.05,0.8066304900122232,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.003159534514153112,10.0,signed_d2_lr,0.003,-15.702372846416868,step,100,1,0,12548,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.13624097538553698,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0027923894628839514,10.0,signed_d2_lr,0.003,-14.035721736900564,step,100,1,0,12548,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.17581273417047494,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003025243776930021,10.0,signed_d2_lr,0.003,-46.639081405055386,step,100,1,0,12548,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.36512990796376277,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004400138076436694,10.0,signed_d2_lr,0.003,-10.831329611881024,step,100,1,0,12548,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.6760060516887592,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0011985262202628094,10.0,signed_d2_lr,0.003,-13.253391347669218,step,100,1,0,12548,0.005474432963652361,3000,20.0,12,0.01,0.03541466933188179,0.0,0.35,0.05,0.8169964260963994,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.003720064292256174,10.0,signed_d2_lr,0.003,-20.88334429508277,step,400,1,0,12548,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.13557653581862944,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0030875613971945676,10.0,signed_d2_lr,0.003,-19.87761227260093,step,400,1,0,12548,0.05050312729745277,3000,20.0,12,0.01,0.059288363178533546,0.0,0.35,0.05,0.17630666087045138,wsdld_20000_24000.csv,WSD linear,1
